SEXO P1 P7 P16 P22 P26 P27 P29 P38 IMC
Hom 74.2 58.1 84 37.9 60.8 26 19 176.6 23.8
Hom 74.6 57.7 95.7 35.6 56.9 24.6 17.6 164.6 27.5
Hom 80.3 58.1 92.3 35.1 57.1 25.1 17.3 171.4 27.3
Hom 61.6 51.5 76.5 33.5 59.5 26.2 18.5 178.7 19.3
Hom 66.8 57.4 83.4 35.6 55.2 24.2 17.7 163.1 25.1
Hom 72.7 57 93.1 34.8 59.1 25.8 18.8 170.3 25.1
Hom 83.5 60.5 100.8 41.5 59.5 24 18.3 166.2 30.2
Hom 59.4 52.9 79.8 34.6 55.6 24.5 17.5 166.4 21.5
Hom 79.8 62 91.1 39.8 62 26.7 19.3 177.7 25.3
Hom 65.5 52.5 90 34.2 54.7 24.5 18.3 160.9 25.3
Hom 91.8 65.7 99.2 37.7 60.5 24.6 18.7 175.7 29.7
Hom 76.1 56.1 88.3 35.6 60.6 26.5 19.1 177.3 24.2
Hom 74.4 57 93 35.8 57.9 25.1 18.3 166.5 26.8
Hom 81.5 62 98.3 38.7 56.7 24.6 17.3 162.2 31
Hom 78.7 60.4 92 38.2 58.4 24.8 17.8 166 28.6
Hom 80 61.8 98.7 39.9 61.4 24.9 18 170.4 27.6
Hom 75.1 56.6 83.9 35 58.4 25.7 18.9 174.5 24.7
Hom 101.2 67.8 104.3 42 60.6 26.1 20.2 179.5 31.4
Hom 87.2 65.4 96.2 41.1 58.2 25.4 18.4 170.2 30.1
Hom 67.7 54.9 86.2 34.1 55.5 24 16.9 163.9 25.2
Hom 78.4 58.8 87.7 36.9 62 27 19.8 179.3 24.4
Hom 63.8 49.3 75.1 34.7 61.3 27.9 20.4 184.9 18.7
Hom 72.5 60.3 86.2 36.8 55.2 24.6 17.8 168.1 25.7
Hom 91.9 64.7 99.1 39.6 57.9 25.3 19.4 175.9 29.7
Hom 66.6 56.7 84.2 33.3 57.8 25.9 19 171.6 22.6
Hom 59.4 55.3 89.4 35.4 55.8 24.3 18.5 164.8 21.9
Hom 100.5 64.3 107.7 40.4 59.1 27.2 20.9 178.1 31.7
Hom 66 54 77 33.4 58.3 25.1 19.1 177.1 21
Hom 69.6 58.1 80.4 33.5 57.1 25 18.3 170.5 23.9
Hom 70.5 58 89.3 36.1 58 23.5 17.8 164 26.2
Hom 66.7 55.2 78.5 32.6 55.7 26.9 18.9 168.1 23.6
Hom 71.9 59.8 88.7 36.9 53.6 23.9 17.9 162 27.4
Hom 72.2 54.2 85.7 35.8 58.1 26.9 18.5 173.8 23.9
Hom 77.5 56.3 91.2 35.5 57.9 25.7 18.9 171.1 26.5
Hom 84.6 60.7 92.3 36.9 60.4 26.7 19.6 175.3 27.5
Hom 95.4 64.6 96.3 39.8 62.5 27.1 20.2 183.6 28.3
Hom 54.9 50.2 77.5 30.8 51.1 24 17.6 157.9 22
Hom 81.1 62.2 93.8 37.5 58.6 27.2 19.6 177.7 25.7
Hom 104.4 68.6 102.4 42.2 64.9 26.9 19.5 186.6 30
Hom 72.8 56.9 78.2 35.2 60.8 27 20.3 179 22.7
Hom 54.6 49.5 68.6 30.7 52.3 23 18.3 159.5 21.5
Hom 72.7 55.7 86.5 34.8 58.8 27.2 19.6 174.5 23.9
Hom 81.7 59.2 87.6 37.3 63.8 27.2 19.9 185 23.9
Hom 67.2 55.2 77.6 33.5 57.2 25.2 18.5 172 22.7
Hom 75.5 59.8 84.8 35.3 57.3 25.1 18.7 174.5 24.8
Hom 78.9 60.7 81.8 37.1 61.4 28.1 20.8 180.6 24.2
Hom 66.5 55.1 79.7 33.8 56.6 24.7 18.3 169.5 23.2
Hom 86.9 65.6 94 39 59.9 26.1 19.1 176.3 28
Hom 80.2 59.9 96.1 39.3 59.3 24.6 18.6 168.2 28.4
Hom 68.7 56.9 81 35 56.7 26.3 19.7 174.5 22.6
Hom 75.8 59.1 87.3 35.6 60.3 26.3 19.5 176.1 24.4
Hom 61.2 52.5 77.3 32.8 55.4 25.2 18.5 168.7 21.5
Hom 70.2 57.4 82 35.2 56 25.4 18.3 171.2 24
Hom 63.6 50.7 70 35 61.4 28 20 187.7 18.1
Hom 80.2 60 91.1 34.4 59.1 25.2 19.5 176.6 25.7
Hom 65.4 52.7 81.1 34.5 57.1 24.2 18.1 168.6 23
Hom 103.2 68.3 90.9 40.6 64.2 28.8 21.7 194.5 27.3
Hom 79.5 55.9 91.7 35.7 58.5 26.3 18.8 173.5 26.4
Hom 74.7 57.5 90.3 36.1 56.7 25.6 18.6 168.5 26.3
Hom 51.8 49.4 70.1 31.1 51.4 24.1 16.9 155.9 21.3
Hom 71.2 57.5 85 34.6 59.9 25.1 19.6 172.8 23.8
Hom 72.7 59.3 86 38.3 56.9 25.2 18.4 166.4 26.3
Hom 80.9 63.8 84.7 39.2 58.9 25.5 18.4 173.3 26.9
Hom 64.8 54.9 84.4 33.5 55.6 24.8 17.7 161.8 24.8
Hom 68.7 54.5 84 33 59.8 25.6 18.7 177.3 21.9
Hom 69.2 53.9 73.2 32.6 64 28.1 20.2 192.8 18.6
Hom 48.6 45.6 68.2 28.7 55.7 24.4 18.1 168.2 17.2
Hom 72.1 59.2 82.2 36.1 59 25.9 19 175.2 23.5
Hom 78.8 57 98.7 36.5 59.2 27.7 20.1 174.3 25.9
Hom 76.8 58.2 89.4 36.5 57.5 26.3 19 171 26.3
Hom 68.2 54.2 82.3 35.3 57.4 27 19.7 174.5 22.4
Hom 53.4 47.9 69 33 55.7 24.7 17.9 171.8 18.1
Hom 51.3 47.1 69.6 30.5 54.6 23.4 17.8 162.4 19.5
Hom 78.1 59 84.6 36.5 60.2 26.1 19.2 176.6 27.8
Hom 75 59.7 79.6 35.6 57.3 26.4 19.8 175.6 31
Hom 74.6 56.2 90.4 34.5 58.5 26.4 19 173.4 24.8
Hom 63.4 53.5 83.9 33 55.4 24.5 18 166.1 23
Hom 64.8 55.6 84.6 31.7 55 24.2 17.7 162.8 24.5
Hom 75.3 57.3 97.2 36.2 58.7 24.3 17.8 167.7 26.8
Hom 70.8 57.8 84 34 53.5 24.9 18.5 163.8 26.4
Hom 80.7 57.3 98.1 36.3 57 24.1 18 169.2 28.2
Hom 114.5 72.1 105.2 43.8 63.3 25.7 19.1 183.6 34
Hom 67.9 54.3 86.4 33.1 57.1 24.7 18.8 172 23
Hom 92.4 58.2 100.4 38.5 61.9 28 20.7 185.4 26.9
Hom 66.7 53.4 75.3 33.8 59.4 27.2 19.8 176.7 21.4
Hom 71.9 56.1 86.2 35.7 55.5 26.2 18.9 164.2 26.7
Hom 81.4 60.6 95.6 36.2 60.4 25.1 19 175.6 26.4
Hom 63.7 52.4 77.5 34.1 58.9 25.4 17.8 173.9 21.1
Hom 63.4 54.4 81.1 32.8 58.6 26.1 18.9 170.4 21.8
Hom 79.3 59.6 91.3 38.1 60.5 25.2 18.4 173.5 26.3
Hom 85.1 63.6 97 38.2 60.4 26.2 19.2 172.4 28.6
Hom 56.8 49.1 77.9 31.4 61.1 25.5 19.1 176 18.3
Hom 68.6 55.9 83.2 35.3 56.4 26 18.1 168.7 24.1
Hom 101.6 65.2 114 41.7 58.3 26 19.2 160.7 39.3
Hom 75.4 56.3 98.6 34.3 55.8 25.5 17.8 166.2 27.3
Hom 78.3 57.8 95.4 35.4 56.9 25.9 19.7 167.7 27.8
Hom 83.9 57.7 100.4 37 63.7 27.1 18.9 181 25.6
Hom 79.3 65.3 91.3 38.3 58 24.9 18.4 169.4 27.6
Hom 86.4 61.5 97 35.7 59.6 25.2 17.8 170.6 29.7
Hom 54.6 44.9 69.2 32.5 57.7 25.1 19 179.8 16.9
Hom 84.3 60.1 93.5 38.2 59.7 25.8 19.9 175.3 27.4
Hom 76.4 57.9 91.2 35.6 59.6 25.6 19.5 172.2 25.8
Hom 77.2 58 95.3 35.6 54.6 24.3 17.8 164 28.7
Hom 77.3 59.9 91.1 35.3 58.1 24.8 18.1 168.7 27.2
Hom 78.4 58.4 93.4 36.4 57.7 26 19.7 168.7 27.6
Hom 55.8 50.1 67.9 33.5 53.2 25.7 18.4 165.9 20.3
Hom 73.5 56.2 86 34.8 61.7 27.9 20.2 183.1 21.9
Hom 80.2 59.3 101.1 37 56 23.2 17.6 168.5 28.3
Hom 88.7 60 103.7 37 60.2 25.5 19.5 171.7 30.1
Hom 69.1 57.3 84.4 35.1 56.6 24.5 18.3 166.8 24.8
Hom 57.6 53 73.3 32.3 56.2 25.4 17.9 171.1 19.7
Hom 70 57.9 86.3 35.2 55.8 24.5 19.2 168.4 24.7
Hom 87.5 62 95.9 36.5 59.7 26.6 19.8 173.5 29.1
Hom 75.4 55.8 98.2 34.4 52.7 24.5 18 157.9 30.2
Hom 57 48.7 73 31.4 55.8 25.8 18.9 168.3 20.1
Hom 91.9 69.1 92.5 38.6 61.8 26.7 19.6 179 28.7
Hom 89.5 63.9 105.1 38.5 57.9 25.7 19.3 168.6 31.5
Hom 69.6 53.9 78.7 34.9 57 27.6 20 172.6 23.4
Hom 66.9 55.9 76.3 33.7 58.7 26.5 19.1 174.6 22
Hom 53.9 50.1 70.9 30.3 54.7 24.5 18.1 166 19.6
Hom 53.1 45.7 66.3 31.7 54.8 24.6 18 173.4 17.7
Hom 67.2 59.5 78.8 34.8 57.1 24.4 17.5 165.7 24.5
Hom 81 61.9 94.3 37 59.1 26.8 19.6 173 27.1
Hom 78.3 62.4 90.8 35.8 59.8 25.2 19.1 172.2 26.4
Hom 72.5 55.7 80.5 32.9 61.2 26.1 19.1 181.8 21.9
Hom 66.1 55.3 79.2 34.5 56.2 26.2 19 168.7 23.2
Hom 70.2 55 85.3 35.2 56.4 24.9 18.1 169.9 24.3
Hom 72 55.5 87.2 34.7 59.3 26.2 19.9 174 23.8
Hom 72.6 57.5 84.9 35.7 56.1 25.2 19.6 171.2 24.8
Hom 95.5 68 99.6 42.3 59.9 25 19.3 172.2 32.2
Hom 111.9 70.3 110.4 42.6 64.5 28.9 19.6 183.8 33.1
Hom 80.5 59.8 96.2 38 56.6 26 18.7 169.9 27.9
Hom 71.6 56.6 91.1 36.3 55.2 25 17.9 164 26.6
Hom 64.8 56.1 86.4 35.7 54.7 22.4 17 160.8 25.1
Hom 84.3 58.8 102.9 38.5 60.2 26.4 18.5 170.9 28.9
Hom 68.1 57.2 83.4 35.4 59.8 26.5 18.9 168 24.1
Hom 78.3 60.9 89.4 37.7 59.9 26.2 19.4 173.7 26
Hom 74.1 56.2 86.8 35.9 58.4 27.4 19.1 172.2 25
Hom 64.3 51.8 88.7 33.7 56.5 25.4 18.3 166.4 23.2
Hom 65 51 79.5 35.1 58.1 26.6 19.5 172.3 21.9
Hom 70.5 56.9 95.2 33.9 58.4 23.2 17.8 163.3 26.4
Hom 87.7 60.8 93 37.7 59.5 25.9 19.4 176.6 28.1
Hom 86.9 65 94.1 38.1 60 24.9 18.5 176.3 28
Hom 78.7 58.1 95.8 35.3 56.7 25.6 18.8 168 27.9
Hom 69 56 88.2 35.7 56.5 25.1 17.8 165.5 25.2
Hom 80.7 58.1 97.5 38 58.6 24.8 18.3 170.1 27.9
Hom 91.6 63.3 89 38.8 63.9 27.2 20.5 182.4 27.5
Hom 71 49.5 82.3 35.3 60.5 26.4 18.5 175.1 23.2
Hom 76.3 61 84.6 39.1 58.7 25.2 18.5 174.7 25
Hom 68.9 48.2 91.1 32.5 62.1 26.5 19.1 178.2 21.7
Hom 73.3 55.4 83.9 35.7 61.1 26 19.3 178 23.1
Hom 59.6 52.5 73.5 33.9 55.9 25.2 17.7 168.3 21
Hom 66.7 58.6 94.9 37.6 51.1 21.4 15.9 144 32.7
Hom 68.1 56.8 83.4 34.4 56.7 23.9 18 164.1 25.3
Hom 82 58.5 91.1 36.4 63.6 27.3 19.5 181.3 25
Hom 77.3 60.2 87.7 38.3 58.7 26.4 19.2 172.8 25.9
Hom 69.6 56.4 86.3 34.6 59.2 25 18.8 163.4 26.1
Hom 89.4 65.3 91.5 37.8 61.2 26.3 18.9 175.3 29.1
Hom 74.6 57 84.7 34.4 59.1 26.1 18.3 177 23.8
Hom 79.3 57.7 93.9 36.6 58.7 26.1 18.8 174.1 26.2
Hom 66.4 54.3 80 32.9 57.9 26.1 19.4 172.4 22.3
Hom 62.2 53.4 76 34.6 58.2 25.2 18 171.4 21.2
Hom 54 47.7 74.3 31.5 56 25.3 18.6 166.6 19.5
Hom 65.1 54.7 79.5 35.3 55.4 24.9 18.2 164.8 24
Hom 72.9 57.6 83.3 36.2 57.1 25.4 17.8 169.5 25.4
Hom 76.1 57.4 85 36.4 61.9 25.6 18.7 182.3 22.9
Hom 88.1 64.8 100.1 40.1 61 26.3 18.4 170.3 30.4
Hom 68.7 56 80.7 35.2 58.7 25 18.8 169.2 24
Hom 70.6 58.6 82.9 34.4 55.7 25.6 19.2 164.2 26.2
Hom 78.7 61.9 91.5 35.9 58.7 26 19.2 166.9 28.3
Hom 62.7 52.3 76.4 33.5 58.8 26.2 18.5 172.4 21.1
Hom 63.9 52.8 75.3 33.7 56.4 24.5 17.3 167.8 22.7
Hom 67.4 52.1 79.6 31.7 56.8 26.2 19.8 175.9 21.8
Hom 51.7 44.5 71.9 30 55.8 25.7 18.2 163.9 19.3
Hom 65.4 56.2 83.7 34 55.5 24.7 17.2 161.7 25
Hom 69.4 55.2 79.7 35.4 57.8 24.4 18 169.9 24
Hom 58.7 50.4 72.5 31.3 56.4 25.2 18.7 167.3 21
Hom 66.5 53.2 86.3 34.4 56.6 25.5 18.4 170.3 22.9
Hom 57.2 49.2 78.3 31.6 54.5 24.9 18.9 160.5 22.2
Hom 75.3 54.6 89.5 35.1 58.4 27.2 20 173.4 25
Hom 56.9 46 74.1 31.6 55.9 25.2 19.6 169.6 19.8
Hom 69.4 51 82.4 33.4 58.4 25.5 18.8 173.2 23.1
Hom 62.5 51 79.3 35.1 56.9 26.2 18.1 171.7 21.2
Hom 58 52.3 80 34.1 57.5 23.5 17.1 159.8 22.7
Hom 72 55.4 96.2 35 58.2 24.8 17.9 165.9 26.2
Hom 89.6 63 96.9 36.3 60.8 27.4 19.9 174.3 29.5
Hom 81.8 58.1 92.5 36.7 58.5 27.8 20.7 174.3 26.9
Hom 63.7 55.7 79.3 34.7 57.4 25.2 18.5 166.9 22.9
Hom 72.5 57.6 88.1 36.9 58.1 23.8 17.5 166.3 26.2
Hom 78.1 60.2 85.8 36 58.4 27.5 20.1 168.6 27.5
Hom 58.4 51.7 72.5 32.9 57.1 26.2 18.7 170.1 20.2
Hom 73.6 57.7 91.7 37.1 57 24.8 17.6 162.1 28
Hom 73.3 53.3 90.3 35.6 54.6 24.5 18.7 167.4 26.2
Hom 53.2 47.3 72.3 30.4 53.6 24.3 17.8 163.3 20
Hom 58.8 49.6 78.2 30.9 53.3 24.6 17.7 162.3 22.3
Hom 66.6 53.9 85.1 33.5 56.4 24.1 18.1 168.2 23.5
Hom 71 51.8 82.5 34.1 60 27.9 19.8 178.9 22.2
Hom 87 62.1 93.8 38.5 61.9 27 20 179 27.2
Hom 72.9 52.5 84.4 34.9 57 27 20.5 175.2 23.8
Hom 63.4 53 77.2 32.8 57 26.4 19.1 176.4 20.4
Hom 62.5 53.3 74.2 33.3 56.4 25.3 19.2 173.7 20.7
Hom 87.9 63.4 98.9 38.8 61.6 25.9 19.2 171.8 29.8
Hom 67.4 51.7 87 35.5 57.4 27.6 20.1 170.8 23.1
Hom 65.8 55.3 77.5 33.2 55.9 24.2 18.3 168.7 23.1
Hom 59.5 51.3 79.5 32.3 53.2 24.9 18.1 165.4 21.8
Hom 76.2 56.3 82.7 33.6 61 27.7 21 181.1 23.2
Hom 54.5 46.8 74.2 31.9 56.9 23.9 17.9 166.9 19.6
Hom 62 50.5 77.9 33.8 56.1 25.8 19.3 170.2 21.4
Hom 78.7 64 82.2 36.8 62.9 25.6 18.6 178.3 24.8
Hom 60.5 51.1 77.5 31.2 54 24.7 18.1 165.1 22.2
Hom 66.8 51.5 77.7 33.5 59.7 27.2 19.5 174.4 22
Hom 72.1 58.3 86.5 34.9 57.6 25.4 19.4 168.5 25.4
Hom 58.8 47.5 73.5 31.5 58.6 26.5 18.6 178.3 18.5
Hom 60 46.6 72 33.7 58.6 28.4 19.6 176.1 19.4
Hom 65.8 57.5 78.4 34.2 53 25 18.3 164.7 24.3
Hom 60.4 52.4 76.6 33.1 57.4 25 17.7 166.1 21.9
Hom 66 54.3 90.1 33.5 55.1 24 17.9 159.9 25.8
Hom 70.9 59.1 86.8 34.9 56.2 24.3 18 168.1 25.1
Hom 69.2 56.8 84.8 35.2 55.9 25.1 18.2 165.7 25.2
Hom 58.4 50.8 80.9 32.5 54.2 23.6 17.5 159.5 23
Hom 67.4 51 76.7 33.5 60.4 27.5 20.2 180.6 20.7
Hom 67.5 54.3 84 32.8 56.7 25.7 18.8 166.6 24.3
Hom 74.6 58.5 88.1 35.7 57.5 25.6 19 164.4 27.6
Hom 92.1 66.8 96.6 36.8 61.2 27.6 20 176.8 29.5
Hom 71.3 59 86.6 36.1 57.6 23.8 17.7 164.7 26.3
Hom 101.2 65.9 101.3 41.9 62.1 27.8 19.3 178.7 31.7
Hom 69 57.7 83 35.4 57.3 25.5 18.4 168.6 24.3
Hom 62.1 49 81.4 35.6 53.2 26.2 18.6 169 21.7
Hom 83.7 59.6 101.3 36.7 53.7 23.6 17.4 160.3 32.6
Hom 76.5 59.2 82.2 37.5 60.2 26.5 18.5 171.3 26.1
Hom 80.9 63 94 38.9 58.7 25 18.5 168.5 28.5
Hom 64.2 53.6 74.2 33.5 55.7 24.1 18.6 168.8 22.5
Hom 58.9 48.3 78 32.3 56.5 26.8 20.2 174.5 19.3
Hom 87.8 61.4 96 37.1 59.5 25 19.1 176 28.3
Hom 71.4 55.7 92 36.6 53.9 25.1 18.8 160.4 27.8
Hom 55.4 48.5 72.2 29.6 57 23.4 18.6 172 18.7
Hom 67.2 52 77.3 35.3 56 26 18.2 171.4 22.9
Hom 78.7 59.1 86.6 37.4 59.1 26.4 19.3 178.1 24.8
Hom 51 47.1 73.6 31.9 53.3 24.2 18 162 19.4
Hom 85.7 59.8 91.8 37.5 59.9 27 19.7 179.1 26.7
Hom 58 50.2 68.2 31.2 56.3 25.5 18.8 171.6 19.7
Hom 63 53.3 75.1 33.5 56.7 26 18.7 167 22.6
Hom 75 57.6 83.1 35.8 59.2 27.3 18.9 176.3 24.1
Hom 58.3 53.3 73 30.5 55.8 25.2 18.7 165.4 21.3
Hom 65.6 53.1 78.1 32.5 56.7 24.1 17.6 170.8 22.5
Hom 55.5 50.3 70.9 31.7 60.5 26.5 19.4 172.4 18.7
Hom 64.2 52.1 79.6 32.4 57.3 26.3 19.7 169 22.5
Hom 63.1 53.3 76.5 32 56.2 24 18.2 168 22.4
Hom 64.3 53.9 78.6 32 56.2 24.1 17.7 164.4 23.8
Hom 60.4 52.9 78.6 31.3 56.7 24.6 18.4 167 21.7
Hom 54.1 52 77.1 30.4 55.7 23.3 18.1 156.5 22.1
Hom 64.6 52 78 32.9 59.6 28 20.1 176.2 20.8
Hom 64.5 51.1 74.1 32.5 58.7 25.9 18.4 178.3 20.3
Hom 62.8 53.4 71.6 31.7 59.6 24.9 18.1 169.5 21.9
Hom 60.6 54.9 75.7 32.6 56.4 24.3 17.5 167.2 21.7
Hom 54.5 50.2 72.1 31.4 56.3 24.2 17.2 165.1 20
Hom 66 54.4 73.3 31.2 58.6 25.9 20 176.4 21.2
Hom 61.3 53.5 80.3 33.1 54.6 23.3 17.5 157.1 24.8
Hom 57.9 50.2 72.4 30.8 55.5 24.1 17.4 163.6 21.6
Hom 68.1 59 77.8 34.3 58.9 24.6 18.6 172.1 23
Hom 72.7 56.1 79.1 33.7 58.4 26.5 19.4 176 23.5
Hom 56.8 49.1 68.2 30.3 54.6 24.3 19.2 166.9 20.4
Hom 56 49.6 74.5 30.1 55.4 25.1 18.4 165 20.6
Hom 78.6 61.7 84.5 34.3 56.5 26 19.5 167.9 27.9
Hom 61.3 51.9 79.8 32.3 54.2 24.5 17 161.5 23.5
Hom 80.7 59.5 91.3 36.1 57.7 25.2 17.4 170.7 27.7
Hom 74.6 56.3 76.2 34.6 59.9 27.2 18.5 181.2 22.7
Hom 63.1 54.5 77.1 32.4 58.4 24.2 17.9 167.8 22.4
Hom 81.2 61.1 85 35.8 57.3 26.2 20 174.1 26.8
Hom 80.6 61.2 88.3 38.1 57.8 24.5 18.5 166 29.3
Hom 51 43.6 70.3 28.4 57.6 24.1 18.7 168.6 17.9
Hom 70.8 55.1 78.6 33.6 56.5 25.5 19.6 167.7 25.2
Hom 78.8 60.1 82.6 35.8 58.2 25.3 18.8 169.5 27.4
Hom 72.9 56.6 79.5 33.3 55.8 25.2 19.2 170.4 25.1
Hom 68.7 53.6 76.9 33.8 57.5 26.7 18.7 172.4 23.1
Hom 63.6 52.8 83.2 33.6 55.1 24.2 17.9 167.5 22.7
Hom 59.2 51.6 76.3 30.8 56.3 24.6 19.1 163.6 22.1
Hom 65.9 54.7 83.4 33.1 57.7 24.6 18.5 166.1 23.9
Hom 61.4 51.9 75.2 30.9 57 25.5 19.1 167.6 21.9
Hom 71 52.3 91.6 35.9 58.5 25.8 18.2 165 26.1
Hom 58.9 51.3 70.5 32.3 59.4 25.8 18.2 170.2 20.3
Hom 82.7 58.7 100 36.7 55.5 24.5 18.3 157.5 33.3
Hom 78.6 54.9 82.9 36.7 62.2 27.7 19.9 183.4 23.4
Hom 62.5 51.2 83.6 33.2 56.7 23.6 17.4 164.4 23.1
Hom 79 56.1 91.1 36.5 58.3 26.4 18.5 172.5 26.6
Hom 68.3 49.5 75.1 32.1 60.2 26.8 19.3 181.4 20.8
Hom 71 57.5 82.4 35.8 59.3 25 18.9 173.2 23.7
Hom 72.5 55.5 92.6 34.2 57 24.8 18.3 167.9 25.7
Hom 57.5 46.9 76.9 32.1 57.9 25.6 19.3 170.6 19.8
Hom 54.4 46.4 81.1 30.6 54.2 23.4 18 154.4 22.8
Hom 69.2 52.2 85.1 33.8 56.9 24.4 18.3 174.4 22.8
Hom 66.3 48.5 78.7 31.8 58.4 25.8 19.9 177.5 21
Hom 86.6 61.4 98.1 36.2 60.2 25.3 19.2 168.6 30.5
Hom 61.6 51 78.7 31.7 55.9 24 17.7 161 23.8
Hom 79.5 60.6 94.6 36.5 59.5 25.1 18.5 170.6 27.3
Hom 54.4 44.3 79.8 30.7 54.5 24.3 18 164.1 20.2
Hom 76.8 56.8 91.9 35.4 59 26.5 19.6 169.4 26.8
Hom 87.9 61.5 89.3 35.3 61.9 27.5 20 178.2 27.7
Hom 69.9 54.9 90.7 34.7 54.5 23.6 17.7 162.1 26.6
Hom 80 60 88.1 36.1 59.9 25.1 18.8 174.5 26.3
Hom 77.8 59.6 87.6 35.2 58.8 26 18.6 172 26.3
Hom 74.8 55.2 86 35.1 61 26.6 19.3 174.4 24.6
Hom 70.4 50.4 90.5 34.5 55.1 25.7 18.1 171 24.1
Hom 63.7 53 82.1 34.2 58.2 25.9 18.9 168.5 22.4
Hom 70.2 54.7 75.7 37.5 59.5 26.3 18 177.3 22.3
Hom 67.9 54 87.2 34.7 56.3 24.4 18.1 168.2 24
Hom 65.3 55.3 80.2 35.5 58.4 24.3 17.6 168.5 23
